abstention_rate,accepted_relation_precision,accepted_route_accuracy,ambiguous_reject_reason_rate,aurc,average_candidate_set_size,benchmark,cross_intent_candidate_access_count,empty_candidate_set_rate,false_memory_access_rate,intent_macro_accuracy,known_accuracy,known_coverage,known_row_count,memory_access_count,minimum_margin,multi_candidate_set_rate,oos_aupr,oos_auroc,oos_f1,oos_precision,oos_recall,ridge_strength,row_count,safe_coverage,seed,selected,stage,threshold,unknown_reject_reason_rate,unknown_row_count,variant,worst_intent_accuracy,wrong_bucket_access_rate
0.7038709677419355,0.738562091503268,0.9926793557833089,0.07387096774193548,0.530995001697704,0.4670967741935484,clinc150,0,0.63,0.11190476190476191,0.678,0.678,0.683,1000,918,0.0,0.07387096774193548,0.9573090379075915,0.9246952380952381,0.8710882765063054,0.8547204399633364,0.888095238095238,,3100,0.678,2501,False,selective,0.35,0.63,2100,R3,0.0,0.005
0.7048387096774194,0.7387978142076502,0.9926578560939795,0.07483870967741936,0.5316436586931769,0.4670967741935484,clinc150,0,0.63,0.11142857142857143,0.676,0.676,0.681,1000,915,0.025,0.07387096774193548,0.9573090379075915,0.9246952380952381,0.8709451575262543,0.854004576659039,0.8885714285714286,,3100,0.676,2501,False,selective,0.35,0.63,2100,R3,0.0,0.005
0.7067741935483871,0.7425742574257426,0.9926470588235294,0.07677419354838709,0.5319968036548899,0.4670967741935484,clinc150,0,0.63,0.10904761904761905,0.675,0.675,0.68,1000,909,0.05,0.07387096774193548,0.9573090379075915,0.9246952380952381,0.8720577953856911,0.8539479689639434,0.8909523809523809,,3100,0.675,2501,False,selective,0.35,0.63,2100,R3,0.0,0.005
0.7103225806451613,0.7483296213808464,0.9926144756277696,0.08032258064516129,0.5330933342453198,0.4670967741935484,clinc150,0,0.63,0.10523809523809524,0.672,0.672,0.677,1000,898,0.075,0.07387096774193548,0.9573090379075915,0.9246952380952381,0.8735471873547187,0.8533151680290645,0.8947619047619048,,3100,0.672,2501,False,selective,0.35,0.63,2100,R3,0.0,0.005
0.7164516129032258,0.7554038680318543,0.9940119760479041,0.08645161290322581,0.5360044874318481,0.4670967741935484,clinc150,0,0.63,0.10047619047619048,0.664,0.664,0.668,1000,879,0.1,0.07387096774193548,0.9573090379075915,0.9246952380952381,0.8743346447581577,0.8505177847816299,0.8995238095238095,,3100,0.664,2501,False,selective,0.35,0.63,2100,R3,0.0,0.004
0.7280645161290322,0.7710557532621589,0.9938837920489296,0.09806451612903226,0.5414729037405548,0.4670967741935484,clinc150,0,0.63,0.09,0.65,0.65,0.654,1000,843,0.15,0.07387096774193548,0.9573090379075915,0.9246952380952381,0.8772090888225844,0.846699158174568,0.91,,3100,0.65,2501,False,selective,0.35,0.63,2100,R3,0.0,0.004
0.7238709677419355,0.7768691588785047,0.9881129271916791,0.04645161290322581,0.5127923255631791,0.3809677419354839,clinc150,0,0.6774193548387096,0.08714285714285715,0.665,0.665,0.673,1000,856,0.0,0.04645161290322581,0.9573090379075915,0.9246952380952381,0.8825966850828728,0.8542780748663101,0.9128571428571428,,3100,0.665,2501,False,selective,0.4,0.6774193548387096,2100,R3,0.0,0.008
0.7251612903225807,0.7793427230046949,0.9895678092399404,0.04774193548387097,0.5131693404468521,0.3809677419354839,clinc150,0,0.6774193548387096,0.08619047619047619,0.664,0.664,0.671,1000,852,0.025,0.04645161290322581,0.9573090379075915,0.9246952380952381,0.8827046918123275,0.8536476868327402,0.9138095238095238,,3100,0.664,2501,False,selective,0.4,0.6774193548387096,2100,R3,0.0,0.007
0.7264516129032258,0.7830188679245284,0.991044776119403,0.04903225806451613,0.5131693404468521,0.3809677419354839,clinc150,0,0.6774193548387096,0.08476190476190476,0.664,0.664,0.67,1000,848,0.05,0.04645161290322581,0.9573090379075915,0.9246952380952381,0.8832720588235294,0.8534635879218473,0.9152380952380952,,3100,0.664,2501,False,selective,0.4,0.6774193548387096,2100,R3,0.0,0.006
0.7283870967741936,0.7874109263657957,0.9925149700598802,0.05096774193548387,0.5135517571206444,0.3809677419354839,clinc150,0,0.6774193548387096,0.08285714285714285,0.663,0.663,0.668,1000,842,0.075,0.04645161290322581,0.9573090379075915,0.9246952380952381,0.8838916934373565,0.8529672276350753,0.9171428571428571,,3100,0.663,2501,False,selective,0.4,0.6774193548387096,2100,R3,0.0,0.005
0.7325806451612903,0.7937273823884198,0.9924585218702866,0.055161290322580644,0.515492279967031,0.3809677419354839,clinc150,0,0.6774193548387096,0.07904761904761905,0.658,0.658,0.663,1000,829,0.1,0.04645161290322581,0.9573090379075915,0.9246952380952381,0.8849233584991992,0.8516072214883311,0.920952380952381,,3100,0.658,2501,False,selective,0.4,0.6774193548387096,2100,R3,0.0,0.005
