abstention_rate,accepted_relation_precision,accepted_route_accuracy,ambiguous_reject_reason_rate,aurc,average_candidate_set_size,benchmark,cross_intent_candidate_access_count,empty_candidate_set_rate,false_memory_access_rate,intent_macro_accuracy,known_accuracy,known_coverage,known_row_count,memory_access_count,multi_candidate_set_rate,oos_aupr,oos_auroc,oos_f1,oos_precision,oos_recall,row_count,safe_coverage,seed,unknown_reject_reason_rate,unknown_row_count,variant,worst_intent_accuracy,wrong_bucket_access_rate
0.0,0.6172413793103448,0.9179487179487179,0.0,0.15162309022973666,1,banking77_open,0,0.0,1.0,0.9179487179487179,0.9179487179487179,1.0,1560,2320,0.0,0.7335882270518479,0.8512246963562753,0.0,0.0,0.0,2320,0.9179487179487179,2503,0.0,760,R2,0.7,0.08205128205128205
0.28879310344827586,0.7781818181818182,0.9392831016825165,0.0,0.16577488992545444,0.7112068965517241,banking77_open,0,0.28879310344827586,0.37236842105263157,0.823076923076923,0.823076923076923,0.8762820512820513,1560,1650,0.0,0.7335882270518479,0.8512246963562753,0.6671328671328671,0.7119402985074627,0.6276315789473684,2320,0.823076923076923,2503,0.28879310344827586,760,MAX_THRESHOLD,0.55,0.0532051282051282
0.8711206896551724,0.9866220735785953,1.0,0.0,0.6111756752480141,0.12887931034482758,banking77_open,0,0.8711206896551724,0.005263157894736842,0.1891025641025641,0.1891025641025641,0.1891025641025641,1560,299,0.0,0.7335882270518479,0.8512246963562753,0.5436893203883495,0.3740722414646215,0.9947368421052631,2320,0.1891025641025641,2503,0.8711206896551724,760,R3,0.0,0.0
0.0,0.8938311688311689,0.8938311688311689,0.0,0.02115620420568379,1,banking77_closed,0,0.0,0.0,0.8938311688311689,0.8938311688311689,1.0,3080,3080,0.0,0.0,0.0,0.0,0.0,0.0,3080,0.8938311688311689,2503,0.0,0,R0,0.3,0.10616883116883116
0.0,0.8574675324675325,0.8574675324675325,0.0,0.06598835266888017,1,banking77_closed,0,0.0,0.0,0.8574675324675325,0.8574675324675325,1.0,3080,3080,0.0,0.0,0.0,0.0,0.0,0.0,3080,0.8574675324675325,2503,0.0,0,R2,0.475,0.14253246753246754
0.0,0.26636363636363636,0.9766666666666667,0.0,0.4192869618200877,1,clinc150,0,0.0,1.0,0.9766666666666667,0.9766666666666667,1.0,1500,5500,0.0,0.9810826919418848,0.9538538333333333,0.0,0.0,0.0,5500,0.9766666666666667,2504,0.0,4000,R0,0.7,0.023333333333333334
0.0,0.26581818181818184,0.9746666666666667,0.0,0.43985068563204477,1,clinc150,0,0.0,1.0,0.9746666666666667,0.9746666666666667,1.0,1500,5500,0.0,0.9680887193672585,0.9221166666666667,0.0,0.0,0.0,5500,0.9746666666666667,2504,0.0,4000,R2,0.7333333333333333,0.025333333333333333
0.6423636363636364,0.6456532791052364,0.98145285935085,0.0,0.4657884318404386,0.35763636363636364,clinc150,0,0.6423636363636364,0.16825,0.8466666666666667,0.8466666666666667,0.8626666666666667,1500,1967,0.0,0.9680887193672585,0.9221166666666667,0.8833134209478296,0.9416926125106142,0.83175,5500,0.8466666666666667,2504,0.6423636363636364,4000,MAX_THRESHOLD,0.0,0.016
0.9412727272727273,0.9287925696594427,1.0,0.0007272727272727272,0.7895117011525743,0.05963636363636363,clinc150,0,0.9405454545454546,0.00575,0.19999999999999998,0.2,0.2,1500,323,0.0001818181818181818,0.9680887193672585,0.9221166666666667,0.8667320475100796,0.768205524435001,0.99425,5500,0.2,2504,0.9405454545454546,4000,R3,0.0,0.0
0.0,0.6405172413793103,0.9525641025641025,0.0,0.12546884108217407,1,banking77_open,0,0.0,1.0,0.9525641025641025,0.9525641025641025,1.0,1560,2320,0.0,0.7683328674046775,0.8618092105263158,0.0,0.0,0.0,2320,0.9525641025641025,2504,0.0,760,R0,0.825,0.047435897435897434
0.0,0.6150862068965517,0.9147435897435897,0.0,0.14040261438867657,1,banking77_open,0,0.0,1.0,0.9147435897435897,0.9147435897435897,1.0,1560,2320,0.0,0.7421692323158454,0.876373987854251,0.0,0.0,0.0,2320,0.9147435897435897,2504,0.0,760,R2,0.55,0.08525641025641026
0.3724137931034483,0.8358516483516484,0.9463452566096423,0.0,0.16548689491374646,0.6275862068965518,banking77_open,0,0.3724137931034483,0.2236842105263158,0.7801282051282051,0.7801282051282051,0.8243589743589743,1560,1456,0.0,0.7421692323158454,0.876373987854251,0.7266009852216748,0.6828703703703703,0.7763157894736842,2320,0.7801282051282051,2504,0.3724137931034483,760,MAX_THRESHOLD,0.5,0.04423076923076923
0.8487068965517242,0.9829059829059829,0.9885386819484241,0.0,0.568448815911863,0.15129310344827587,banking77_open,0,0.8487068965517242,0.002631578947368421,0.22115384615384615,0.22115384615384615,0.22371794871794873,1560,351,0.0,0.7421692323158454,0.876373987854251,0.5555148406009527,0.3849669883189436,0.9973684210526316,2320,0.22115384615384615,2504,0.8487068965517242,760,R3,0.025,0.002564102564102564
0.0,0.8941558441558441,0.8941558441558441,0.0,0.02122642069797947,1,banking77_closed,0,0.0,0.0,0.8941558441558441,0.8941558441558441,1.0,3080,3080,0.0,0.0,0.0,0.0,0.0,0.0,3080,0.8941558441558441,2504,0.0,0,R0,0.25,0.10584415584415584
