benchmark,ci95_high,ci95_low,maximum,mean,metric,minimum,seed_count,variant
banking77_open,0.19725180590991753,0.15761998896187734,0.2282051282051282,0.17743589743589744,known_accuracy,0.1326923076923077,10,R3
banking77_open,0.1989323292722459,0.15914459380467716,0.22884615384615384,0.17903846153846154,known_coverage,0.13333333333333333,10,R3
banking77_open,0.9960132339842999,0.9859898855507866,1.0,0.9910015597675432,accepted_route_accuracy,0.9708029197080292,10,R3
banking77_open,0.19725180590991753,0.15761998896187734,0.2282051282051282,0.17743589743589744,safe_coverage,0.1326923076923077,10,R3
banking77_open,0.002505665875204738,0.0006994623299234671,0.005128205128205128,0.0016025641025641025,wrong_bucket_access_rate,0.0,10,R3
banking77_open,0.0049762270642931235,0.001602720304127929,0.009210526315789473,0.003289473684210526,false_memory_access_rate,0.0,10,R3
banking77_open,0.9983972796958721,0.9950237729357069,1.0,0.9967105263157895,oos_recall,0.9907894736842106,10,R3
banking77_open,0.5471106721336746,0.5360237425898403,0.5555148406009527,0.5415672073617575,oos_f1,0.5292479108635098,10,R3
banking77_open,0.8740858526874686,0.8603083780817622,0.8828711201079622,0.8671971153846154,oos_auroc,0.8512246963562753,10,R3
banking77_open,0.7572856312065182,0.7409759319183831,0.7733768810034425,0.7491307815624506,oos_aupr,0.7326889503535392,10,R3
banking77_open,0.020834307648494303,-0.0008343076484943045,0.05,0.01,worst_intent_accuracy,0.0,10,R3
banking77_open,0.19725180590991753,0.15761998896187734,0.2282051282051282,0.17743589743589744,intent_macro_accuracy,0.1326923076923077,10,R3
banking77_open,0.0005167197805205013,5.215987898435186e-07,0.001293103448275862,0.0002586206896551724,multi_candidate_set_rate,0.0,10,R3
banking77_open,0.6583103803292351,0.6026281952041718,0.6964662334339929,0.6304692877667034,aurc,0.5637853400559464,10,R3
clinc150,0.8371620430470487,0.8036379569529514,0.852,0.8204,known_accuracy,0.7766666666666666,10,MAX_THRESHOLD
clinc150,0.8575432902561136,0.8231233764105531,0.8866666666666667,0.8403333333333334,known_coverage,0.7913333333333333,10,MAX_THRESHOLD
clinc150,0.9840477513438304,0.9686565903689834,0.9960845732184808,0.9763521708564069,accepted_route_accuracy,0.9529130087789306,10,MAX_THRESHOLD
clinc150,0.8371620430470487,0.8036379569529514,0.852,0.8204,safe_coverage,0.7766666666666666,10,MAX_THRESHOLD
clinc150,0.02655162830603431,0.013315038360632359,0.03933333333333333,0.019933333333333334,wrong_bucket_access_rate,0.0033333333333333335,10,MAX_THRESHOLD
clinc150,0.16055519307709087,0.12294480692290911,0.19975,0.14175,false_memory_access_rate,0.11025,10,MAX_THRESHOLD
clinc150,0.8770551930770908,0.8394448069229091,0.88975,0.85825,oos_recall,0.80025,10,MAX_THRESHOLD
