case_id,domain_assignment_count,method,replay_query_count,replay_query_reduction,solver_call_count,split
f2c-train-0005,768,Gold Symbolic Contract,0,1.0,0,train
f2c-train-0006,768,Gold Symbolic Contract,0,1.0,0,train
f2c-train-0007,768,Gold Symbolic Contract,0,1.0,0,train
f2c-train-0008,768,Gold Symbolic Contract,0,1.0,0,train
f2c-train-0009,768,Gold Symbolic Contract,0,1.0,0,train
f2c-train-0010,768,Gold Symbolic Contract,0,1.0,0,train
f2c-train-0011,768,Gold Symbolic Contract,0,1.0,0,train
f2c-train-0012,768,Gold Symbolic Contract,0,1.0,0,train
f2c-train-0013,768,Gold Symbolic Contract,0,1.0,0,train
f2c-train-0014,768,Gold Symbolic Contract,0,1.0,0,train
f2c-train-0015,768,Gold Symbolic Contract,0,1.0,0,train
f2c-train-0016,768,Gold Symbolic Contract,0,1.0,0,train
f2c-train-0017,768,Gold Symbolic Contract,0,1.0,0,train
f2c-train-0018,768,Gold Symbolic Contract,0,1.0,0,train
f2c-train-0019,768,Gold Symbolic Contract,0,1.0,0,train
f2c-train-0020,768,Gold Symbolic Contract,0,1.0,0,train
f2c-train-0021,768,Gold Symbolic Contract,0,1.0,0,train
f2c-train-0022,768,Gold Symbolic Contract,0,1.0,0,train
f2c-train-0023,768,Gold Symbolic Contract,0,1.0,0,train
f2c-train-0024,768,Gold Symbolic Contract,0,1.0,0,train
f2c-train-0025,768,Gold Symbolic Contract,0,1.0,0,train
f2c-train-0026,768,Gold Symbolic Contract,0,1.0,0,train
f2c-train-0027,768,Gold Symbolic Contract,0,1.0,0,train
f2c-train-0028,768,Gold Symbolic Contract,0,1.0,0,train
f2c-train-0029,768,Gold Symbolic Contract,0,1.0,0,train
f2c-train-0030,768,Gold Symbolic Contract,0,1.0,0,train
f2c-train-0031,768,Gold Symbolic Contract,0,1.0,0,train
f2c-train-0032,768,Gold Symbolic Contract,0,1.0,0,train
f2c-train-0033,768,Gold Symbolic Contract,0,1.0,0,train
f2c-train-0034,768,Gold Symbolic Contract,0,1.0,0,train
f2c-train-0035,768,Gold Symbolic Contract,0,1.0,0,train
f2c-train-0036,768,Gold Symbolic Contract,0,1.0,0,train
f2c-train-0037,768,Gold Symbolic Contract,0,1.0,0,train
f2c-train-0038,768,Gold Symbolic Contract,0,1.0,0,train
f2c-train-0039,768,Gold Symbolic Contract,0,1.0,0,train
f2c-train-0040,768,Gold Symbolic Contract,0,1.0,0,train
f2c-calibration-0041,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0042,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0043,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0044,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0045,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0046,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0047,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0048,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0049,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0050,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0051,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0052,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0053,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0054,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0055,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0056,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0057,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0058,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0059,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0060,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0061,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0062,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0063,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0064,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0065,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0066,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0067,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0068,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0069,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0070,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0071,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0072,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0073,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0074,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0075,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0076,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0077,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0078,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0079,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0080,768,DenyAll,0,1.0,0,calibration
f2c-calibration-0041,768,Declared-Contract Monitor,0,1.0,0,calibration
f2c-calibration-0042,768,Declared-Contract Monitor,0,1.0,0,calibration
f2c-calibration-0043,768,Declared-Contract Monitor,0,1.0,0,calibration
f2c-calibration-0044,768,Declared-Contract Monitor,0,1.0,0,calibration
f2c-calibration-0045,768,Declared-Contract Monitor,0,1.0,0,calibration
f2c-calibration-0046,768,Declared-Contract Monitor,0,1.0,0,calibration
f2c-calibration-0047,768,Declared-Contract Monitor,0,1.0,0,calibration
f2c-calibration-0048,768,Declared-Contract Monitor,0,1.0,0,calibration
f2c-calibration-0049,768,Declared-Contract Monitor,0,1.0,0,calibration
f2c-calibration-0050,768,Declared-Contract Monitor,0,1.0,0,calibration
f2c-calibration-0051,768,Declared-Contract Monitor,0,1.0,0,calibration
f2c-calibration-0052,768,Declared-Contract Monitor,0,1.0,0,calibration
f2c-calibration-0053,768,Declared-Contract Monitor,0,1.0,0,calibration
f2c-calibration-0054,768,Declared-Contract Monitor,0,1.0,0,calibration
f2c-calibration-0055,768,Declared-Contract Monitor,0,1.0,0,calibration
f2c-calibration-0056,768,Declared-Contract Monitor,0,1.0,0,calibration
f2c-calibration-0057,768,Declared-Contract Monitor,0,1.0,0,calibration
f2c-calibration-0058,768,Declared-Contract Monitor,0,1.0,0,calibration
f2c-calibration-0059,768,Declared-Contract Monitor,0,1.0,0,calibration
f2c-calibration-0060,768,Declared-Contract Monitor,0,1.0,0,calibration
f2c-calibration-0061,768,Declared-Contract Monitor,0,1.0,0,calibration
f2c-calibration-0062,768,Declared-Contract Monitor,0,1.0,0,calibration
f2c-calibration-0063,768,Declared-Contract Monitor,0,1.0,0,calibration
f2c-calibration-0064,768,Declared-Contract Monitor,0,1.0,0,calibration
f2c-calibration-0065,768,Declared-Contract Monitor,0,1.0,0,calibration
f2c-calibration-0066,768,Declared-Contract Monitor,0,1.0,0,calibration
f2c-calibration-0067,768,Declared-Contract Monitor,0,1.0,0,calibration
f2c-calibration-0068,768,Declared-Contract Monitor,0,1.0,0,calibration
f2c-calibration-0069,768,Declared-Contract Monitor,0,1.0,0,calibration
f2c-calibration-0070,768,Declared-Contract Monitor,0,1.0,0,calibration
f2c-calibration-0071,768,Declared-Contract Monitor,0,1.0,0,calibration
f2c-calibration-0072,768,Declared-Contract Monitor,0,1.0,0,calibration
f2c-calibration-0073,768,Declared-Contract Monitor,0,1.0,0,calibration
f2c-calibration-0074,768,Declared-Contract Monitor,0,1.0,0,calibration
f2c-calibration-0075,768,Declared-Contract Monitor,0,1.0,0,calibration
f2c-calibration-0076,768,Declared-Contract Monitor,0,1.0,0,calibration
f2c-calibration-0077,768,Declared-Contract Monitor,0,1.0,0,calibration
f2c-calibration-0078,768,Declared-Contract Monitor,0,1.0,0,calibration
f2c-calibration-0079,768,Declared-Contract Monitor,0,1.0,0,calibration
